character,line
Summary,Dean Pelton
Featuring,Craig Pelton
Setting,Greendale Community College
Employee,City college has a space simulator!
Richie,We know. Close the door.
Dean,"As I was saying,"
will be unveiling the City College Cosmic Pioneer,"their very own orbital launch simulator. Pretty soon, they will have an astronaut on their brochure and we will still be bragging about our foosball table."
Dean,What do you think happens to enrollment then?
Dean,"I don't know about you gentlemen, but I love my campus. And I don't wanna watch it become a City College parking lot."
Richie,"Well, what can we do?"
Dean,"We can launch our own space simulator. Before they simulate their launch on Monday, we can simulate a launch this weekend. We make Greendale, not City College, the first community college to pretend to put a man in space."
Richie,Do we even have a simulator?
Dean,We can get one.
"In 1980, the County Museum had a state-of-the-art space mission simulator sponsored by Kentucky Fried Chicken called ""The Kentucky Fried Chicken Eleven Herbs & Space Experience."" Gentlemen",Greendale's future!
Dean,"Actually, that photo is from the past. Here is one more current."
Richie,It's seen better days.
Dean,"I admit, it could use a good wash. And I've got just the crew to wash it."
Featuring,Jeff Winger
Setting,Greendale Community College
Jeff,Can we stop walking in slow-mo now?
Abed,Twenty more yards.
Pierce,You guys are walking in slow-mo?
Summary,"The group boards the simulator, accidentally blasting off in the process."
Featuring,Jeff Winger
Setting,Greendale Community College
Dean,You guys are an hour late!
Annie,Abed kept making us redo our walk!
Dean,I think you know the reason this group has been chosen for this job.
Dean,"To atone for the obscene entry you submitted in the Greendale school flag contest. That's right. I know this isn't a symbol for the 'crossroads of ideas', I now know it's a butt."
Dean,"Yeah, keep snickering. Pack yourself with peanuts and really be satisfied. But guess what? This won! This is now our school flag forever! Are you proud of yourselves?"
Troy,How do you know it was our flag? We submitted it anonymously. Oops.
Dean,One of you actually came forward.
Annie,What?
Dean,"Now, somewhere beneath this dirt is Greendale's newest pride. And my hope is that while you scrub it, you will find the school pride in your hearts."
Abed,"After we clean it, can we go inside?"
Dean,No. That is a job for some upstanding students who are training right now in the 'Simulator Simulator'.
Leonard,Great job on this! It's hard to believe I'm not really not really in space.
Dean,I expect this craft to be squeaky clean in time for the pretend launch in front of the press at three o'clock.
Dean,"Now, if you'll excuse me, I have to make this into a butt flag."
Britta,"Man, I remember this thing from high school. During field trips, we used to sneak inside and get..."
Britta,...to praying.
Shirley,"Oh, that's nice!"
Annie,"We should take a coffee break! Let's all get coffee, okay? Where are Troy and Abed?"
Jeff,I'm pretty sure they made their way into that thing five seconds after the Dean left.
